Nombre del buque 	Señal Distintiva 	Matrícula 	País 	Categoría (*) 	Eslora (m) 	Puerto
HUYU 907 		03027 	Argentina 	ALTURA,PROC.CONGELADOR 	72.17 	
IGLU I 		01423 	Argentina 	ALTURA, FRESQUERO 	32.75 	
INARI MARU N°25 		0261 	Argentina 	ALTURA,PROC.CONGELADOR 	54.25 	
INDOMABLE 		02347 	Argentina 	COSTEROS, FRESQUERO 	16.1 	
INDOMITO 		01484 	Argentina 	RADA O RIA, FRESQUERO 	15.86 	
INFINITUS PEZ 		01472 	Argentina 	ALTURA, FRESQUERO 	24.82 	
INITIO PEZ 		01471 	Argentina 	ALTURA, FRESQUERO 	24.85 	
INSOLITO 		0758 	Argentina 	COSTEROS, FRESQUERO 	22.7 	
ISLA DE CAPRI 		0903 	Argentina 	RADA O RIA, FRESQUERO 	12.92 	
ITALIA 		0973 	Argentina 	RADA O RIA, FRESQUERO 	14.07 	
ITXAS LUR 		0927 	Argentina 	ALTURA,PROC.CONGELADOR 	63.3 	
JESUS DE NAZARETH 		0710 	Argentina 	RADA O RIA, FRESQUERO 	14.65 	
JUAN ALVAREZ 		0619 	Argentina 	ALTURA,PROC.CONGELADOR 	36.6 	
